Node Number,X Location (in),Y Location (in),Z Location (in)
1,2.4999,3.8333,0.1
2,2.4999,3.6667,0.1
3,2.4999,3.5,0.1
4,2.4999,3.3333,0.1
5,2.4999,3.1667,0.1
6,2.4999,3.,0.1
7,2.4999,2.8333,0.1
8,2.4999,2.6667,0.1
9,2.4999,2.5,0.1
10,2.4999,2.3333,0.1
11,2.4999,2.1667,0.1
12,2.6667,3.8333,0.1
13,2.6667,3.6667,0.1
14,2.6667,3.5,0.1
15,2.6667,3.3333,0.1
16,2.6667,3.1667,0.1
17,2.6667,3.,0.1
18,2.6667,2.8333,0.1
19,2.6667,2.6667,0.1
20,2.6667,2.5,0.1
21,2.6667,2.3333,0.1
22,2.6667,2.1667,0.1
23,2.3437,0.1541,0.1
24,2.3437,0.3082,0.1
25,2.3437,0.4623,0.1
26,2.3437,0.6164,0.1
27,2.3437,0.7705,0.1
28,2.3437,0.9246,0.1
29,2.3437,1.0787,0.1
30,2.3437,1.2328,0.1
31,2.3437,1.3869,0.1
32,2.3437,1.541,0.1
33,2.3437,1.6951,0.1
34,2.3437,1.8492,0.1
35,2.3437,2.0033,0.1
36,2.3437,2.1694,0.1
37,2.3437,2.3355,0.1
38,2.3437,2.5016,0.1
39,2.3437,2.6678,0.1
40,2.3437,2.8339,0.1
41,2.3437,3.,0.1
42,2.3437,3.1661,0.1
43,2.3437,3.3322,0.1
44,2.3437,3.4984,0.1
45,2.3437,3.6645,0.1
46,2.3437,3.8306,0.1
47,2.3437,3.9967,0.1
48,2.3437,4.1508,0.1
49,2.3437,4.3049,0.1
50,2.3437,4.459,0.1
51,2.3437,4.6131,0.1
52,2.3437,4.7672,0.1
53,2.3437,4.9213,0.1
54,2.3437,5.0754,0.1
55,2.3437,5.2295,0.1
56,2.3437,5.3836,0.1
57,2.3437,5.5377,0.1
58,2.3437,5.6918,0.1
59,2.3437,5.8459,0.1
60,2.1875,0.15435,0.1
61,2.1875,0.3087,0.1
62,2.1875,0.46306,0.1
63,2.1875,0.61741,0.1
64,2.1875,0.77176,0.1
65,2.1875,0.92611,0.1
66,2.1875,1.0805,0.1
67,2.1875,1.2348,0.1
68,2.1875,1.3892,0.1
69,2.1875,1.5435,0.1
70,2.1875,1.6979,0.1
71,2.1875,1.8522,0.1
72,2.1875,2.0066,0.1
73,2.1875,2.1721,0.1
74,2.1875,2.3377,0.1
75,2.1875,2.5033,0.1
76,2.1875,2.6689,0.1
77,2.1875,2.8344,0.1
78,2.1875,3.,0.1
79,2.1875,3.1656,0.1
80,2.1875,3.3311,0.1
81,2.1875,3.4967,0.1
82,2.1875,3.6623,0.1
83,2.1875,3.8279,0.1
84,2.1875,3.9934,0.1
85,2.1875,4.1478,0.1
86,2.1875,4.3021,0.1
87,2.1875,4.4565,0.1
88,2.1875,4.6108,0.1
89,2.1875,4.7652,0.1
90,2.1875,4.9195,0.1
91,2.1875,5.0739,0.1
92,2.1875,5.2282,0.1
93,2.1875,5.3826,0.1
94,2.1875,5.5369,0.1
95,2.1875,5.6913,0.1
96,2.1875,5.8456,0.1
97,2.0312,0.15461,0.1
98,2.0312,0.30921,0.1
99,2.0312,0.46382,0.1
100,2.0312,0.61842,0.1
101,2.0312,0.77303,0.1
102,2.0312,0.92763,0.1
103,2.0312,1.0822,0.1
104,2.0312,1.2368,0.1
105,2.0312,1.3914,0.1
106,2.0312,1.5461,0.1
107,2.0312,1.7007,0.1
108,2.0312,1.8553,0.1
109,2.0312,2.0099,0.1
110,2.0312,2.1749,0.1
111,2.0312,2.3399,0.1
112,2.0312,2.5049,0.1
113,2.0312,2.67,0.1
114,2.0312,2.835,0.1
115,2.0312,3.,0.1
116,2.0312,3.165,0.1
117,2.0312,3.33,0.1
118,2.0312,3.4951,0.1
119,2.0312,3.6601,0.1
120,2.0312,3.8251,0.1
121,2.0312,3.9901,0.1
122,2.0312,4.1447,0.1
123,2.0312,4.2993,0.1
124,2.0312,4.4539,0.1
125,2.0312,4.6086,0.1
126,2.0312,4.7632,0.1
127,2.0312,4.9178,0.1
128,2.0312,5.0724,0.1
129,2.0312,5.227,0.1
130,2.0312,5.3816,0.1
131,2.0312,5.5362,0.1
132,2.0312,5.6908,0.1
133,2.0312,5.8454,0.1
134,1.875,0.15486,0.1
135,1.875,0.30972,0.1
136,1.875,0.46457,0.1
137,1.875,0.61943,0.1
138,1.875,0.77429,0.1
139,1.875,0.92915,0.1
140,1.875,1.084,0.1
141,1.875,1.2389,0.1
142,1.875,1.3937,0.1
143,1.875,1.5486,0.1
144,1.875,1.7034,0.1
145,1.875,1.8583,0.1
146,1.875,2.0132,0.1
147,1.875,2.1776,0.1
148,1.875,2.3421,0.1
149,1.875,2.5066,0.1
150,1.875,2.6711,0.1
151,1.875,2.8355,0.1
152,1.875,3.,0.1
153,1.875,3.1645,0.1
154,1.875,3.3289,0.1
155,1.875,3.4934,0.1
